#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 04 19 04 30 110  5.0  5.0    MM    MM    MM  MM 1020.2   8.3   6.6   6.1   MM   MM    MM
2017 04 19 04 20 110  4.0  5.0    MM    MM    MM  MM 1020.4   8.1   6.6   6.0   MM   MM    MM
2017 04 19 04 10 110  5.0  6.0    MM    MM    MM  MM 1020.3   8.0   6.6   5.9   MM   MM    MM
2017 04 19 04 00 110  5.0  7.0    MM    MM    MM  MM 1020.2   7.9   6.6   5.7   MM -0.3    MM
2017 04 19 03 50 100  5.0  6.0   1.0     6   4.2  75 1020.3   7.9   6.6   5.6   MM   MM    MM
2017 04 19 03 40 100  6.0  7.0   1.0    MM   4.2  75 1020.4   7.9   6.6   5.5   MM   MM    MM
2017 04 19 03 30 100  6.0  7.0    MM    MM    MM  MM 1020.5   7.9   6.6   5.5   MM   MM    MM
2017 04 19 03 20  90  6.0  7.0    MM    MM    MM  MM 1020.5   7.9   6.6   5.4   MM   MM    MM
2017 04 19 03 10  90  6.0  7.0    MM    MM    MM  MM 1020.6   7.8   6.6   5.3   MM   MM    MM
2017 04 19 03 00  90  6.0  7.0    MM    MM    MM  MM 1020.6   7.7   6.6   5.2   MM -0.8    MM
2017 04 19 02 50  90  6.0  7.0   1.1     6   4.2  74 1020.8   7.7   6.6   5.2   MM   MM    MM
2017 04 19 02 40  90  6.0  7.0   1.1    MM   4.2  74 1020.9   7.7   6.6   5.2   MM   MM    MM
2017 04 19 02 30  90  6.0  7.0    MM    MM    MM  MM 1021.0   7.7   6.6   5.1   MM   MM    MM
2017 04 19 02 20  90  6.0  7.0    MM    MM    MM  MM 1020.9   7.6   6.6   5.0   MM   MM    MM
2017 04 19 02 10  90  7.0  8.0    MM    MM    MM  MM 1020.9   7.7   6.6   4.8   MM   MM    MM
2017 04 19 02 00  90  7.0  8.0    MM    MM    MM  MM 1020.9   7.7   6.6   4.7   MM -0.9    MM
2017 04 19 01 50  80  7.0  8.0   1.2     6   4.3  81 1020.8   7.8   6.6   4.6   MM   MM    MM
2017 04 19 01 40  80  7.0  8.0    MM    MM    MM  MM 1020.9   7.9   6.6   4.6   MM   MM    MM
2017 04 19 01 30  80  7.0  9.0    MM    MM    MM  MM 1020.9   8.1   6.6   4.4   MM   MM    MM
2017 04 19 01 20  80  8.0  9.0    MM    MM    MM  MM 1020.8   8.4   6.6   4.4   MM   MM    MM
2017 04 19 01 10  90  8.0 10.0    MM    MM    MM  MM 1020.4   8.5   6.6   4.2   MM   MM    MM
2017 04 19 01 00  80  8.0 10.0    MM    MM    MM  MM 1020.5   8.3   6.6   4.0   MM -2.5    MM
2017 04 19 00 50  80  8.0  9.0   1.2     6   4.3  73 1020.7   8.2   6.6   4.1   MM   MM    MM
2017 04 19 00 40  80  8.0  9.0    MM    MM    MM  MM 1020.9   8.0   6.6   4.2   MM   MM    MM
2017 04 19 00 30  80  8.0  9.0    MM    MM    MM  MM 1021.2   7.9   6.6   4.1   MM   MM    MM
2017 04 19 00 20  80  8.0 10.0    MM    MM    MM  MM 1021.3   7.9   6.6   4.2   MM   MM    MM
2017 04 19 00 10  80  7.0  9.0    MM    MM    MM  MM 1021.4   7.8   6.6   4.2   MM   MM    MM
2017 04 19 00 00  80  7.0  9.0    MM    MM    MM  MM 1021.4   7.6   6.6   4.2   MM -2.1    MM
2017 04 18 23 50  80  7.0  9.0   1.1     5   4.2  71 1021.5   7.5   6.6   4.2   MM   MM    MM
2017 04 18 23 40  80  8.0  9.0   1.1    MM   4.2  71 1021.4   7.4   6.6   4.2   MM   MM    MM
2017 04 18 23 30  80  8.0  9.0    MM    MM    MM  MM 1021.1   7.4   6.6   4.3   MM   MM    MM
2017 04 18 23 20  90  7.0  9.0    MM    MM    MM  MM 1021.5   7.3   6.6   4.3   MM   MM    MM
