YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
80 06 23 19 091 01.6 02.4 00.00 02.00 02.30 999 1017.7  21.5 999.0 999.0 99.0
80 06 23 20 067 02.4 02.7 00.00 02.80 02.60 999 1017.1  21.7  20.1 999.0 99.0
80 06 23 21 059 02.7 03.4 00.00 02.10 02.30 999 1016.6  21.5  20.1 999.0 99.0
80 06 23 22 075 03.1 04.3 00.10 03.30 02.60 999 1016.2  21.1  19.9 999.0 99.0
80 06 23 23 080 03.9 05.2 00.20 02.20 02.30 999 1016.1  20.9  19.5 999.0 99.0
80 06 24 00 079 03.3 04.8 00.30 02.40 02.40 999 1016.1  20.4  19.0 999.0 99.0
80 06 24 01 084 02.5 04.0 00.50 02.50 02.50 999 1016.3  20.1  18.6 999.0 99.0
80 06 24 02 090 02.5 03.7 00.40 02.60 02.50 999 1016.4  19.7  18.5 999.0 99.0
80 06 24 03 090 02.6 03.6 00.40 02.60 02.50 999 1016.3  19.5  18.4 999.0 99.0
80 06 24 04 104 01.9 02.6 00.30 02.40 02.50 999 1016.2  19.4  18.4 999.0 99.0
80 06 24 05 107 01.4 01.5 00.30 02.40 02.50 999 1016.7  19.5  18.5 999.0 99.0
80 06 24 06 101 01.3 01.6 00.20 02.70 02.60 999 1016.7  19.3  18.5 999.0 99.0
80 06 24 07 199 03.2 04.5 00.20 02.80 02.80 999 1016.4  21.1  18.4 999.0 99.0
80 06 24 08 230 00.5 00.9 00.20 02.60 02.50 999 1016.1  20.4  18.5 999.0 99.0
80 06 24 09 160 00.6 01.1 00.30 02.40 02.40 999 1016.1  19.8  18.5 999.0 99.0
80 06 24 10 207 01.0 01.3 00.20 02.40 02.50 999 1016.3  19.7  18.5 999.0 99.0
80 06 24 11 156 01.1 01.4 00.10 02.60 02.50 999 1017.0  19.5  18.5 999.0 99.0
80 06 24 12 149 01.4 01.7 00.10 02.60 02.60 999 1017.1  19.6  18.6 999.0 99.0
80 06 24 13 162 01.0 01.1 00.10 02.60 02.70 999 1017.2  19.7  18.7 999.0 99.0
80 06 24 14 122 00.8 01.1 00.10 02.50 02.60 999 1017.4  19.8  18.8 999.0 99.0
80 06 24 15 084 00.5 00.9 00.10 02.50 02.50 999 1018.0  19.9  18.9 999.0 99.0
80 06 24 16 129 00.5 01.0 00.10 02.50 02.50 999 1018.5  20.1  19.1 999.0 99.0
80 06 24 17 094 00.4 00.9 00.10 02.60 02.50 999 1018.4  20.4  19.3 999.0 99.0
80 06 24 18 066 01.0 01.4 00.10 03.20 02.90 999 1018.3  20.2  19.5 999.0 99.0
80 06 24 19 100 01.0 01.3 00.10 02.60 02.50 999 1018.0  19.9  19.3 999.0 99.0
80 06 24 20 102 01.8 02.2 00.10 03.10 02.80 999 1017.5  19.9  19.4 999.0 99.0
80 06 24 21 082 02.8 03.1 00.10 02.50 02.50 999 1016.7  20.0  19.4 999.0 99.0
80 06 24 22 075 01.7 01.8 00.10 04.00 03.10 999 1016.8  20.9  19.4 999.0 99.0
80 06 24 23 019 01.9 02.3 00.00 02.50 02.60 999 1016.9  20.4  19.5 999.0 99.0
80 06 25 00 038 02.1 02.3 00.00 02.60 02.50 999 1016.9  20.4  19.1 999.0 99.0
80 06 25 01 078 01.8 02.3 00.00 03.80 03.00 999 1016.8  20.3  19.1 999.0 99.0
80 06 25 02 123 03.7 04.8 00.00 04.30 03.10 999 1016.6  20.6  19.3 999.0 99.0
80 06 25 03 119 03.5 04.7 00.00 04.50 02.50 999 1017.0  20.5  19.2 999.0 99.0
80 06 25 04 119 02.0 02.4 00.10 04.30 03.10 999 1017.2  20.4  19.1 999.0 99.0
80 06 25 05 150 02.9 03.3 00.10 04.50 03.00 999 1017.4  20.8  19.1 999.0 99.0
80 06 25 06 173 02.3 02.6 00.10 02.40 02.50 999 1017.2  20.0  19.1 999.0 99.0
80 06 25 07 169 02.9 03.1 00.10 02.40 02.30 999 1016.7  20.1  19.0 999.0 99.0
80 06 25 08 170 02.8 03.1 00.00 02.00 02.10 999 1016.7  20.0  19.0 999.0 99.0
80 06 25 09 168 01.7 01.9 00.10 02.00 02.40 999 1017.1  19.5  19.0 999.0 99.0
80 06 25 10 180 01.3 01.5 00.00 02.80 02.40 999 1017.7  19.1  18.9 999.0 99.0
80 06 25 11 157 01.5 01.7 99.00 99.00 99.00 999 1018.1  19.3  18.9 999.0 99.0
80 06 25 12 164 01.8 02.2 99.00 99.00 99.00 999 1018.2  19.5  18.9 999.0 99.0
80 06 25 13 170 01.7 02.1 00.00 03.20 03.20 999 1018.3  19.5  19.0 999.0 99.0
80 06 25 14 153 00.9 01.2 00.00 03.40 03.10 999 1018.0  19.6  19.1 999.0 99.0
80 06 25 15 139 01.5 01.9 00.00 02.20 02.30 999 1017.5  19.9  19.4 999.0 99.0
80 06 25 16 125 01.3 01.6 00.10 02.10 02.20 999 1017.2  20.6  19.6 999.0 99.0
80 06 25 17 331 01.5 02.1 00.00 02.10 02.20 999 1017.0  21.5  20.2 999.0 99.0
80 06 25 18 019 02.2 02.8 00.10 02.60 02.60 999 1016.8  21.2  19.4 999.0 99.0
80 06 25 19 027 02.7 03.3 00.00 02.40 02.50 999 1016.2  21.4  21.2 999.0 99.0
80 06 25 20 037 02.4 02.9 00.00 02.90 02.50 999 1015.8  21.7  21.1 999.0 99.0
80 06 25 21 031 02.2 02.5 00.10 02.60 02.70 999 1015.6  21.9  21.1 999.0 99.0
80 06 25 22 058 02.1 02.5 00.00 02.60 02.50 999 1015.3  21.9  21.3 999.0 99.0
80 06 25 23 098 02.5 03.0 00.00 02.40 02.30 999 1015.2  21.8  21.0 999.0 99.0
80 06 26 00 117 03.2 03.9 00.10 04.20 03.30 999 1014.8  21.4  20.7 999.0 99.0
80 06 26 01 118 03.4 04.7 00.10 04.50 02.60 999 1014.7  21.3  20.4 999.0 99.0
80 06 26 02 107 01.9 02.2 00.20 02.20 02.30 999 1015.4  20.8  20.2 999.0 99.0
80 06 26 03 112 02.2 02.8 00.10 02.30 02.30 999 1015.5  20.8  20.2 999.0 99.0
80 06 26 04 126 02.1 02.5 00.10 02.30 02.30 999 1015.0  20.7  20.2 999.0 99.0
80 06 26 05 163 01.7 02.0 00.10 02.20 02.30 999 1014.6  20.8  20.1 999.0 99.0
80 06 26 06 174 01.9 02.2 00.10 02.20 02.20 999 1014.5  20.7  20.0 999.0 99.0
80 06 26 07 187 02.1 02.4 00.00 02.20 02.30 999 1014.3  20.6  19.9 999.0 99.0
80 06 26 08 194 02.4 02.7 00.00 02.00 02.30 999 1013.8  20.5  19.9 999.0 99.0
80 06 26 09 208 02.1 02.3 00.00 04.80 02.50 999 1014.1  20.6  19.8 999.0 99.0
80 06 26 10 206 02.3 02.6 00.10 02.10 02.20 999 1014.3  20.5  19.7 999.0 99.0
80 06 26 11 205 02.4 02.7 00.10 02.10 02.20 999 1014.6  20.4  19.7 999.0 99.0
80 06 26 12 216 02.4 02.7 00.10 02.20 02.20 999 1015.2  20.9  19.7 999.0 99.0
80 06 26 13 194 02.2 02.7 00.20 02.20 02.30 999 1015.0  21.1  20.1 999.0 99.0
80 06 26 14 186 02.6 03.5 00.20 02.30 02.30 999 1014.8  21.1  20.3 999.0 99.0
80 06 26 15 185 02.6 03.2 00.20 02.40 02.30 999 1014.4  21.7  20.6 999.0 99.0
80 06 26 16 199 02.4 02.7 00.20 02.40 02.30 999 1014.2  22.6  21.0 999.0 99.0
80 06 26 17 187 01.6 01.9 00.10 02.40 02.40 999 1013.9  23.4  21.5 999.0 99.0
80 06 26 18 180 01.3 01.6 00.10 02.40 02.50 999 1013.3  24.1  21.6 999.0 99.0
80 06 26 19 190 01.5 01.7 00.10 02.60 02.40 999 1012.7  24.9  21.7 999.0 99.0
80 06 26 20 184 01.2 01.4 00.10 02.50 02.50 999 1012.0  25.7  21.8 999.0 99.0
80 06 26 21 177 01.8 02.1 00.10 04.20 03.10 999 1011.4  26.5  21.8 999.0 99.0
80 06 26 22 161 01.7 02.1 00.00 02.50 02.50 999 1011.0  26.2  21.7 999.0 99.0
80 06 26 23 202 02.4 02.7 00.00 02.60 02.60 999 1010.9  26.3  21.3 999.0 99.0
80 06 27 00 237 01.7 02.0 00.10 02.70 02.60 999 1011.4  26.6  21.2 999.0 99.0
80 06 27 01 257 02.1 02.5 00.10 02.50 02.40 999 1011.3  25.8  22.2 999.0 99.0
80 06 27 02 288 01.7 01.9 00.10 02.30 02.40 999 1011.7  24.7  22.7 999.0 99.0
80 06 27 03 276 02.2 03.1 00.10 02.30 02.30 999 1012.2  24.6  22.7 999.0 99.0
80 06 27 04 293 03.3 04.7 00.10 02.10 02.20 999 1011.8  24.4  22.6 999.0 99.0
80 06 27 05 295 03.1 04.3 00.20 02.30 02.30 999 1012.1  24.6  22.5 999.0 99.0
80 06 27 06 344 03.9 06.2 00.40 02.40 02.40 999 1012.2  23.7  22.4 999.0 99.0
80 06 27 07 352 01.3 01.9 00.30 02.40 02.40 999 1012.6  22.6  22.3 999.0 99.0
80 06 27 08 006 02.6 03.8 00.20 02.40 02.40 999 1012.6  22.5  22.2 999.0 99.0
80 06 27 09 016 03.6 05.1 00.10 02.20 02.30 999 1013.1  21.6  22.0 999.0 99.0
80 06 27 10 021 05.3 06.5 00.50 02.50 02.50 999 1013.8  20.3  21.5 999.0 99.0
80 06 27 11 015 04.0 05.5 00.70 03.30 02.90 999 1014.5  19.5  21.0 999.0 99.0
80 06 27 12 014 02.6 04.9 00.60 03.10 02.80 999 1015.0  19.5  20.8 999.0 99.0
80 06 27 13 002 03.4 04.8 00.50 03.30 02.90 999 1015.6  19.5  20.5 999.0 99.0
80 06 27 14 338 01.7 02.9 00.40 03.10 02.80 999 1016.0  20.0  20.4 999.0 99.0
80 06 27 15 018 01.8 02.5 00.40 03.10 02.80 999 1016.3  20.1  20.4 999.0 99.0
80 06 27 16 008 01.7 02.6 00.40 02.60 02.70 999 1016.5  20.5  21.0 999.0 99.0
80 06 27 17 010 01.7 02.9 00.50 03.10 02.90 999 1016.9  20.5  21.2 999.0 99.0
80 06 27 18 036 02.3 03.9 00.50 02.90 02.90 999 1016.5  20.9  21.4 999.0 99.0
80 06 27 19 032 03.8 05.3 00.50 03.00 02.80 999 1016.8  20.6  21.3 999.0 99.0
80 06 27 20 056 03.5 04.8 00.50 02.90 02.80 999 1016.2  20.7  21.2 999.0 99.0
80 06 27 21 074 01.8 02.6 00.40 02.90 02.80 999 1016.0  20.9  21.2 999.0 99.0
80 06 27 22 053 01.8 02.5 00.30 02.60 02.70 999 1016.3  20.9  21.4 999.0 99.0
80 06 27 23 051 02.3 02.9 00.30 02.90 02.70 999 1016.4  21.0  21.3 999.0 99.0
80 06 28 00 027 05.1 06.0 00.30 02.50 02.60 999 1016.5  21.0  21.2 999.0 99.0
80 06 28 01 038 04.5 05.8 00.60 02.90 02.80 999 1016.4  20.5  21.1 999.0 99.0
80 06 28 02 053 02.4 03.4 00.60 03.20 02.80 999 1016.3  19.9  21.1 999.0 99.0
80 06 28 03 053 02.8 04.0 00.50 03.10 02.80 999 1015.7  19.7  21.0 999.0 99.0
80 06 28 04 063 02.5 03.5 00.50 03.20 02.80 999 1015.4  19.3  21.0 999.0 99.0
80 06 28 05 055 02.4 03.3 00.50 03.00 02.70 999 1014.8  19.2  20.9 999.0 99.0
80 06 28 06 084 02.5 03.3 00.40 02.40 02.60 999 1014.4  19.0  20.9 999.0 99.0
80 06 28 07 092 03.2 04.1 00.40 02.60 02.60 999 1013.4  19.4  20.8 999.0 99.0
80 06 28 08 084 04.2 05.3 00.40 02.40 02.60 999 1012.7  19.8  20.8 999.0 99.0
80 06 28 09 104 03.8 05.1 00.40 02.40 02.60 999 1012.8  20.5  20.8 999.0 99.0
80 06 28 10 119 04.2 05.5 00.50 02.80 02.60 999 1012.3  20.4  20.7 999.0 99.0
80 06 28 11 135 04.2 05.8 00.40 02.60 02.60 999 1011.4  20.4  20.7 999.0 99.0
80 06 28 12 146 04.9 06.3 00.40 02.50 02.60 999 1010.5  21.0  20.7 999.0 99.0
80 06 28 13 160 07.8 10.0 00.50 02.50 02.50 999 1006.6  22.6  20.7 999.0 99.0
80 06 28 14 217 05.3 06.9 00.90 03.40 03.10 999 1008.3  23.0  20.5 999.0 99.0
80 06 28 15 233 04.3 06.2 00.70 03.60 03.10 999 1008.7  23.2  20.5 999.0 99.0
80 06 28 16 239 03.8 05.5 00.60 03.40 02.80 999 1008.4  24.0  20.6 999.0 99.0
80 06 28 17 247 03.6 05.3 00.50 02.60 02.60 999 1008.8  23.7  20.8 999.0 99.0
80 06 28 18 246 03.7 05.1 00.40 02.60 02.60 999 1009.0  24.4  21.1 999.0 99.0
80 06 28 19 253 02.4 03.5 00.30 02.30 02.50 999 1009.3  24.3  21.4 999.0 99.0
80 06 28 20 237 03.5 05.2 00.20 02.40 02.50 999 1009.1  25.0  21.8 999.0 99.0
80 06 28 21 234 02.9 04.4 00.30 02.30 02.80 999 1008.9  25.5  21.8 999.0 99.0
80 06 28 22 219 01.5 01.9 00.20 04.50 03.30 999 1008.6  25.1  21.9 999.0 99.0
80 06 28 23 205 01.3 01.6 00.20 04.80 03.60 999 1008.4  24.9  22.0 999.0 99.0
80 06 29 00 250 01.1 01.5 00.30 04.50 03.70 999 1007.9  24.6  22.0 999.0 99.0
80 06 29 01 238 02.5 03.6 00.40 04.30 03.70 999 1007.8  25.3  21.9 999.0 99.0
80 06 29 02 077 03.8 05.1 00.40 04.30 03.50 999 1008.1  21.1  21.8 999.0 99.0
80 06 29 03 091 03.0 03.9 00.60 03.20 03.00 999 1009.4  20.7  21.4 999.0 99.0
80 06 29 04 215 04.7 06.5 00.70 02.60 02.80 999 1009.8  23.5  21.2 999.0 99.0
80 06 29 05 237 06.0 08.2 00.90 03.30 03.00 999 1010.1  23.1  21.0 999.0 99.0
80 06 29 06 248 05.3 06.9 00.90 03.40 03.10 999 1009.4  22.7  20.9 999.0 99.0
80 06 29 07 223 06.7 08.7 00.90 03.30 03.10 999 1009.0  22.4  20.8 999.0 99.0
80 06 29 08 227 04.9 06.5 00.80 03.20 03.00 999 1008.5  22.0  20.7 999.0 99.0
80 06 29 09 225 05.8 07.5 00.80 03.10 03.00 999 1008.1  21.9  20.7 999.0 99.0
80 06 29 10 238 05.0 06.7 00.70 03.20 03.00 999 1007.7  21.8  20.7 999.0 99.0
80 06 29 11 259 06.0 08.3 00.70 03.20 03.00 999 1007.2  21.9  20.8 999.0 99.0
80 06 29 12 250 05.4 07.1 00.70 03.20 03.00 999 1007.3  21.9  20.8 999.0 99.0
80 06 29 13 265 03.7 05.3 00.60 03.00 02.90 999 1006.8  21.8  20.8 999.0 99.0
