#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 12 03 30 301  5.9  7.5 99.00 99.00 99.00 999 1016.9   5.5   4.6   0.5 99.0 99.00 
2016 04 12 03 40 298  5.6  7.2  0.61  3.85  3.35 301 1016.9   5.4   4.6   1.1 99.0 99.00 
2016 04 12 03 50 300  6.2  7.3 99.00 99.00 99.00 999 1017.1   5.4   4.6   0.6 99.0 99.00 
2016 04 12 04 00 300  6.5  8.2 99.00 99.00 99.00 999 1017.2   5.4   4.6   0.3 99.0 99.00 
2016 04 12 04 10 302  6.7  8.3 99.00 99.00 99.00 999 1017.3   5.4   4.6   0.1 99.0 99.00 
2016 04 12 04 20 305  6.9  8.3 99.00 99.00 99.00 999 1017.5   5.4   4.5  -0.4 99.0 99.00 
2016 04 12 04 30 301  6.1  7.4 99.00 99.00 99.00 999 1017.6   5.3   4.5  -0.1 99.0 99.00 
2016 04 12 04 40 298  5.3  6.8  0.54  3.33  3.19 307 1017.9   5.1   4.5   0.4 99.0 99.00 
2016 04 12 04 50 295  4.9  5.8 99.00 99.00 99.00 999 1018.0   5.0   4.5   0.4 99.0 99.00 
2016 04 12 05 00 292  4.8  5.6 99.00 99.00 99.00 999 1018.2   5.0   4.5   0.3 99.0 99.00 
2016 04 12 05 10 291  4.1  4.9 99.00 99.00 99.00 999 1018.3   4.9   4.5   0.5 99.0 99.00 
2016 04 12 05 20 293  4.3  5.4 99.00 99.00 99.00 999 1018.4   4.9   4.5   0.3 99.0 99.00 
2016 04 12 05 30 295  4.6  6.0 99.00 99.00 99.00 999 1018.5   4.9   4.5  -0.2 99.0 99.00 
2016 04 12 05 40 295  5.5  6.8  0.45  3.57  3.16 290 1018.6   4.9   4.5  -0.3 99.0 99.00 
2016 04 12 05 50 296  5.0  5.8 99.00 99.00 99.00 999 1018.6   4.8   4.5  -0.1 99.0 99.00 
2016 04 12 06 00 299  4.8  5.8 99.00 99.00 99.00 999 1018.7   4.7   4.5   0.1 99.0 99.00 
2016 04 12 06 10 298  5.5  6.5 99.00 99.00 99.00 999 1018.8   4.7   4.5  -0.1 99.0 99.00 
2016 04 12 06 20 294  5.9  7.4 99.00 99.00 99.00 999 1018.9   4.7   4.5  -0.2 99.0 99.00 
2016 04 12 06 30 297  6.4  7.7 99.00 99.00 99.00 999 1018.9   4.7   4.5  -0.1 99.0 99.00 
2016 04 12 06 40 298  6.2  7.4  0.42  3.03  2.95 294 1019.1   4.6   4.5  -0.2 99.0 99.00 
2016 04 12 06 50 297  6.1  7.1 99.00 99.00 99.00 999 1019.2   4.5   4.5  -0.2 99.0 99.00 
2016 04 12 07 00 299  5.8  7.4 99.00 99.00 99.00 999 1019.4   4.5   4.5  -0.3 99.0 99.00 
2016 04 12 07 10 301  5.6  7.5 99.00 99.00 99.00 999 1019.5   4.4   4.5  -0.2 99.0 99.00 
2016 04 12 07 20 309  6.4  8.2 99.00 99.00 99.00 999 1019.6   4.4   4.5  -1.9 99.0 99.00 
2016 04 12 07 30 304  6.8  8.6 99.00 99.00 99.00 999 1019.8   4.4   4.5  -2.3 99.0 99.00 
2016 04 12 07 40 305  6.4  7.7  0.49  3.03  2.95 299 1019.9   4.4   4.5  -2.1 99.0 99.00 
2016 04 12 07 50 301  6.0  7.5 99.00 99.00 99.00 999 1020.0   4.4   4.5  -1.7 99.0 99.00 
2016 04 12 08 00 301  6.6  8.6 99.00 99.00 99.00 999 1020.2   4.3   4.5  -2.1 99.0 99.00 
2016 04 12 08 10 307  7.4  9.3 99.00 99.00 99.00 999 1020.2   4.3   4.5  -2.6 99.0 99.00 
2016 04 12 08 20 306  7.2  8.9 99.00 99.00 99.00 999 1020.4   4.3   4.5  -2.5 99.0 99.00 
2016 04 12 08 30 303  6.4  7.7 99.00 99.00 99.00 999 1020.6   4.2   4.5  -2.1 99.0 99.00 
2016 04 12 08 40 301  6.8  8.6  0.54  3.23  3.13 307 1020.7   4.2   4.5  -2.0 99.0 99.00 
2016 04 12 08 50 296  7.1  8.6 99.00 99.00 99.00 999 1020.8   4.1   4.5  -2.0 99.0 99.00 
2016 04 12 09 00 300  7.3  8.9 99.00 99.00 99.00 999 1020.9   4.0   4.5  -1.9 99.0 99.00 
2016 04 12 09 10 306  7.1  8.6 99.00 99.00 99.00 999 1021.0   4.0   4.5  -2.0 99.0 99.00 
